Muslo,Rodilla
2.28346,-0.614430
0.939677,-0.939234
1.97429,-0.758154
2.45886,-0.788857
2.20933,-0.271929
0.774041,-0.828118
1.90560,-0.656870
1.90356,-0.783049
1.85256,-0.802723
0.310434,-0.520938
1.27412,-0.681479
0.591390,-0.417665
2.28536,-0.888559
1.69334,-0.975805
2.17000,-0.722992
0.590995,-0.574153
0.883268,-0.719289
1.08601,-0.632438
0.551786,-0.486511
1.96069,-0.818179
0.357264,-0.359559
1.49029,-0.451315
2.03473,-0.954839
1.29091,-0.923542
1.47833,-0.794794
0.713973,-0.307947
2.63755,-0.886016
2.07278,-0.893941
2.27803,-0.753314
1.19627,-0.697427
0.722191,-0.202604
1.56911,-0.852381
1.03367,-0.543357
1.79599,-0.867775
1.33635,-0.966326
1.34883,-0.720397
0.123147,-0.173896
2.16918,-0.716420
0.487815,-0.644585
1.40988,-0.730218
0.929065,-0.902000
1.13149,-0.758874
1.51889,-0.320892
1.02685,-0.627315
1.84521,-0.242030
1.91339,-0.113131
2.25716,-0.714672
1.12233,-0.593468
1.46981,-0.343368
0.896230,-0.697032
1.92020,-0.800893
2.45260,-0.891770
0.326617,-0.293667
2.35029,-0.848680
2.23046,-0.591146
1.51678,-0.966800
1.20097,-0.840441
1.97924,-0.861599
1.99738,-0.0994294
1.91729,-0.737479
0.376565,-0.311650
1.11109,-0.343670
1.87965,-0.860354
0.663293,-0.750560
1.50073,-0.710525
0.912704,-0.382944
1.87215,-0.456972
0.897283,-0.986489
0.617517,-0.352548
0.473129,-0.559359
0.399332,-0.696900
0.405403,-0.506196
2.10905,-0.855982
1.60303,-0.755751
1.81920,-0.976816
1.99303,-0.847588
1.91264,-0.551324
2.04339,-0.746024
0.985311,-0.364321
1.77559,-0.437277
0.370784,-0.715300
2.17353,-0.924502
